Route_Code,Route_Name,Eng_O,Eng_D,Eng_KM,Eng_Cycle_Min,Eng_Headway,Eng_Fleet,Eng_Type,Eng_Load,Real_RoadKM,Real_OneWay_Time,Real_Service,Coord_Check,KM_Delta_Pct,Time_Check,Verdict,Finding,Sources
"SRSR02022227","LD to Panthachowk","34.081954,74.805892","34.028571,74.905785","13.344","106.8","35","5","Urban","0.038","13-16","30-40 min","JKRTC city routes and private minibuses link LD Hospital Wazir Bagh corridor to Pantha Chowk; Pantha Chowk is a known bus stand on the Srinagar-Jammu highway side, frequent local services exist","Both endpoints real and correctly placed; haversine 10.95 km vs real road ~14.5 km is normal for this corridor with the Jhelum-side road bend","-8","One-way ~53 min modelled vs ~30-40 min real plausible given congestion/layover allowance","PASS","Real corridor, well-known Srinagar landmarks, modelled KM within tolerance of typical road distance; fleet/headway reasonable for an urban link","jksrtc.co.in, distancesfrom.com, onefivenine.com"
"SRSR02022229","LD to Parimpora","34.081954,74.805892","34.111187,74.747451","10.44","83.5","35","4","Urban","0.015","8-9","20-25 min","Parimpora is the main inter-district bus terminal of Srinagar; LD Hospital (Wazir Bagh) to Parimpora is served by city minibuses via Jehangir Chowk/Batamaloo corridor","Both endpoints real; haversine 6.29 km vs LD-area to Parimpora road distance commonly cited near 8 km is consistent with city street routing","20","One-way ~42 min modelled vs ~20-25 min real is on the high side but plausible with downtown congestion and stops","REVIEW","Modelled one-way time appears generous relative to the short distance; otherwise corridor and coordinates check out fine","onefivenine.com, indiamapia.com, jksrtc.co.in"
"SRSR01020522","Lalbazar to LD","34.125566,74.817375","34.081954,74.805892","9.308","74.5","20","5","Urban","0.1","6-7","15-20 min","Lal Bazar is a real Srinagar locality (police station area) on a known city corridor; LD Hospital is centrally located; regular city bus/minibus service plausible on this short hop","Both endpoints exist; haversine 4.96 km vs an expected road distance of 6-7 km is consistent for a short urban link with minor street detour","40","One-way ~37 min modelled is high for a roughly 6-7 km hop even with downtown congestion","REVIEW","KM_Delta is large in percentage terms but the absolute gap is only ~2-3 km, typical for very short urban routes; cycle time and headway look generous - worth re-checking origin pin for Lal Bazar","onefivenine.com, distancesfrom.com, wikipedia.org"
"SRSR01020523","Lalbazar to Lalchowk","34.125566,74.817375","34.071262,74.810527","8.433","67.5","20","5","Urban","0.039","6-8","20 min","Lal Chowk is the central commercial hub of Srinagar; Lal Bazar to Lal Chowk is a standard short city-bus hop served by JKRTC city routes and private minibuses","Both endpoints real and well documented; haversine 6.07 km vs typical road distance 6-8 km is consistent","5","One-way ~34 min modelled vs ~20 min real is somewhat high but acceptable for downtown congestion with stops","PASS","Real, well-known corridor; coordinates and distance check out; cycle time slightly generous but within tolerance for a busy central route","wikipedia.org, onefivenine.com, thrillophilia.com"
"SRSR01020529","Lalbazar to Parimpora","34.125566,74.817375","34.111187,74.747451","12.646","101.2","35","4","Urban","0.071","9-11","25-30 min","Parimpora bus terminal is connected to most Srinagar localities including Lal Bazar via the Jehangir Chowk-Batamaloo corridor on existing city routes","Both endpoints real; haversine 6.63 km vs an estimated road distance of 9-11 km via the street network is plausible given the curved approach to Parimpora","25","One-way ~51 min modelled is high relative to ~9-11 km but consistent with Parimpora-area congestion at the terminal approach","REVIEW","Distance and corridor are plausible but on the upper edge of tolerance; cycle time is generous - flag for headway/fleet re-check rather than route validity","onefivenine.com, indiamapia.com"
"SRSR01020530","Lalbazar to Qamarwari","34.125566,74.817375","34.094819,74.766082","8.695","69.6","20","5","Urban","0.09","7-9","20-25 min","Qamarwari is a major Srinagar locality on the Batamaloo-Bemina corridor, served by JKRTC Route 9 and 12A style city buses passing close to Lal Bazar via Jehangir Chowk","Both endpoints real; haversine 5.83 km vs an estimated 7-9 km road distance is reasonable for this cross-town hop","9","One-way ~35 min modelled vs ~20-25 min real is on the high side but acceptable for a busy intra-city corridor","PASS","Real corridor with established city bus precedent (Route 9/12A family); coordinates and distance within tolerance","jksrtc.co.in (Route 9/12A), onefivenine.com"
"ANAN01010201","Lammer to Anantnagh","33.730216,75.14856","33.74535,75.186081","4.333","31.3","35","2","Urban","0.324","4-5","10-12 min","Lammer/Larnoo-area villages near Anantnag town are served by short-haul JKRTC/private minibus feeder links into the Anantnag bus stand, a normal pattern in this district","Lammer is a real settlement near Anantnag (district records show Larnoo-area villages in this zone); haversine 3.86 km is consistent with a short peri-urban feeder distance of 4-5 km","4","One-way ~16 min modelled vs ~10-12 min real is reasonable for a short feeder with stops","PASS","Short, plausible local feeder route near Anantnag town; coordinates place both points correctly in the same micro-region; numbers consistent","anantnag.nic.in, villageinfo.in, onefivenine.com"
"SRSR02022420","Lawaypora to Jehangir Chowk","34.117297,74.698752","34.071881,74.804719","14.207","113.7","35","5","Urban","0.034","11-13","25-30 min","Lawaypora is a known Srinagar-north locality (~9 km from Lal Chowk per local sources) on the Narbal-Srinagar corridor; Jehangir Chowk is a major city interchange; route plausible via existing city/feeder services","Both endpoints real; haversine 10.99 km vs an estimated 11-13 km road distance is well within tolerance","12","One-way ~57 min modelled vs ~25-30 min real is generous but acceptable for a longer cross-city hop with congestion","PASS","Real corridor connecting a peri-urban locality to the central interchange; coordinates and distance consistent","mappls.com, distancesfrom.com (Lal Chowk-Hyderpora reference), onefivenine.com"
"SRSR02022537","Ma Road to Safakadal","34.040034,74.877958","34.09322,74.791695","13.244","106.0","35","5","Urban","0.045","11-13","25-30 min","MA Road and Safakadal are both established Srinagar downtown localities; MA Road spans roughly 12.5 km within Srinagar North subdistrict and Safakadal is a core old-city locality, both served by city bus/minibus services","Both endpoints real and documented; haversine 9.91 km vs an estimated 11-13 km road distance via the city street grid is reasonable","12","One-way ~53 min modelled vs ~25-30 min real is generous but plausible given old-city congestion and narrow lanes near Safakadal","PASS","Real, well-documented downtown corridor; coordinates and distance are consistent; old-city congestion justifies a longer modelled time","geoiq.io (MA Road length), onefivenine.com, facebook.com (Safakadal locality)"
"SRSR01020622","Malbagh to LD","34.144232,74.825477","34.081954,74.805892","11.428","91.4","20","6","Urban","0.165","8-10","20-25 min","Malabagh is a documented Srinagar locality; LD Hospital is a major destination for local trips; a direct city minibus/feeder service on this corridor is consistent with general Srinagar local transport patterns","Both endpoints real; haversine 7.16 km vs an estimated 8-10 km road distance is reasonable for this corridor","20","One-way ~46 min modelled vs ~20-25 min real is on the high side but acceptable for a busy north-Srinagar approach into the city centre","REVIEW","Real corridor and coordinates check out; modelled cycle time runs a bit long relative to the short distance - fleet of 6 for a 20 min headway, 0.165 load looks generous but not unreasonable for a hospital-bound route","onefivenine.com (Malabagh locality), srinagar.nic.in (LD Hospital)"
