Route_Code,Route_Name,Eng_O,Eng_D,Eng_KM,Eng_Cycle_Min,Eng_Headway,Eng_Fleet,Eng_Type,Eng_Load,Real_RoadKM,Real_OneWay_Time,Real_Service,Coord_Check,KM_Delta_Pct,Time_Check,Verdict,Finding,Sources
"SRSR02022935","Parimpora to Rawalpora","34.111187,74.747451","34.01977,74.799735","14.409","115.3","35","5","Urban","0.105","12-14","25-35 min","Both are established Srinagar localities on the JKRTC city-bus grid (Parimpora is a major bus terminus/fruit mandi hub; Rawalpora is a populous southwest Srinagar colony off the bypass). No dedicated direct-route timetable found but the corridor is plausible via the bypass/Hyderpora road.","Both endpoints verified real Srinagar localities; haversine 11.25 km is consistent with a 12-14 km road distance given the bypass routing.","-15 to -3","Cycle 115.3 min implies one-way approx 50-55 min for a 12-14 km urban trip, slow but plausible under Srinagar congestion via bypass/Hyderpora.","PASS","Corridor and coordinates check out; engine KM is within a reasonable band of the estimated real road distance once bypass routing is considered.","onefivenine.com,distancesfrom.com,alldistancebetween.com,mappls.com"
"SRSR02022938","Parimpora to Saidakadal","34.111187,74.747451","34.103619,74.827952","14.067","112.5","20","7","Urban","0.054","8-10","20-25 min","Parimpora (bus terminus/fruit mandi) and Saidakadal (old-city bridge/locality on the Jhelum) are both real, well-known Srinagar nodes; JKRTC's circular Route 9 explicitly links Parimpora-area stops to old-city points (Rajouri Kadal, Bohri Kadal) near Saidakadal.","Coordinates plausible for both named localities; no several-km offset evident.","41-56","Cycle 112.5 min implies one-way approx 50 min for an 8-10 km old-city corridor; this is slow but explainable by old-city congestion and the Jhelum-bridge bottleneck near Saidakadal.","REVIEW","Engine KM (14.07) is roughly 41-56% higher than a realistic 8-10 km road distance between Parimpora and old-city Saidakadal; likely an inflated/indirect engine path. Corridor itself and headway/fleet are otherwise plausible given old-city congestion.","kashmirlife.net,mapcarta.com,onefivenine.com"
"SRSR02023013","Qamarwari to Dalgate","34.094819,74.766082","34.081628,74.826887","8.844","70.8","20","5","Urban","0.064","6-8","18-22 min","Qamarwari (residential/UPHC locality) and Dalgate (Boulevard/houseboat tourist hub near Dal Lake) are both real, well-served Srinagar points on JKRTC's Route 2/Route 9-type corridors via Jehangir Chowk.","Coordinates consistent with known locality positions; no offset issue.","11-47","Cycle 70.8 min implies one-way approx 33-35 min for a 6-8 km trip via Jehangir Chowk-Dalgate corridor; plausible given the Dalgate tourist-zone congestion.","PASS","Real corridor and coordinates verified; engine KM is within reasonable tolerance of the 6-8 km road-distance band once the Jehangir Chowk routing detour is accounted for.","onefivenine.com,thrillophilia.com,kashmirlife.net"
"SRSR02013004","Qamarwari to Hazratbal","34.094819,74.766082","34.127549,74.835646","14.081","112.6","35","5","Urban","0.094","7-9","20-25 min","Confirmed real corridor: web sources give Qamarwari-Hazratbal Rd straight distance as 7 km/12 min; JKRTC Route 6A and Route 5 explicitly connect Hazratbal to Batamaloo-area stops via Khanyar/Rainawari, a route Qamarwari would feed into.","Coordinates check out (haversine 7.37 km closely matches the independently reported 7 km figure).","57-101","Cycle 112.6 min implies one-way approx 52-56 min, much slower than the ~12-20 min reported for a direct 7 km trip; the engine distance/time look heavily inflated for this pair.","REVIEW","Web sources independently confirm Qamarwari-Hazratbal is ~7 km/~12-20 min by road, but engine models 14.08 km and a ~55-min one-way time — roughly double; likely an indirect/looped path or unit issue in the engine route geometry.","alldistancebetween.com,distancesfrom.com,waze.com"
"SRSR02023020","Qamarwari to Jehangir Chowk","34.094819,74.766082","34.071881,74.804719","12.659","101.3","35","4","Urban","0.021","5-6","15-18 min","Both real, central Srinagar points; Jehangir Chowk is a major interchange used by virtually every JKRTC city route (Route 2, 5, 9 etc.), and Qamarwari is on the JKPDC Jehangir Chowk-Batmaloo corridor per TellMyRoute stop data.","Coordinates consistent with known positions; haversine only 4.38 km versus engine's 12.66 km road distance is a large gap even allowing for street-grid detour.","111-153","Cycle 101.3 min implies one-way approx 47-50 min for what should be a roughly 5-6 km, 15-18 min city hop; this is a large mismatch.","REVIEW","Engine KM (12.66) is more than double the haversine (4.38 km) and well above any reasonable road-detour factor for two adjacent central-Srinagar points; route geometry likely includes an unnecessary loop. Corridor and headway/fleet otherwise sane.","tellmyroute.com,kashmirlife.net,onefivenine.com"
"SRSR02023029","Qamarwari to Parimpora","34.094819,74.766082","34.111187,74.747451","14.577","116.6","35","5","Urban","0.022","2-3","8-10 min","Both real, adjacent Srinagar localities; web sources note Parimpora's fruit mandi is roughly 0.8 km from Qamarwari, and JKRTC's Route 9 circular explicitly strings Qamarwari and Parimpora together as consecutive stops.","Haversine only 2.5 km, consistent with the ~0.8-3 km separation reported by sources; engine's 14.58 km road distance is a severe outlier for two adjacent, directly-linked stops.","386-628","Cycle 116.6 min implies a ~55-min one-way trip between two stops that are consecutive on an existing circular route (which covers far more ground in less time); not plausible.","REVIEW","Severe distance mismatch: independently-confirmed adjacency (~0.8-3 km, both on JKRTC Route 9) versus engine's 14.58 km / ~55-min one-way; engine geometry for this pair is almost certainly wrong (likely picked up a long detour or mis-snapped node).","mappls.com,kashmirlife.net,onefivenine.com"
"SRSR01020823","Rangpora to Lalchowk","34.161641,74.817634","34.071262,74.810527","13.983","111.7","20","7","Urban","0.119","9-11","25-30 min","Rangpora is a northern Srinagar locality (near Soura/Ganderbal Road) and Lal Chowk is the central business district; web search could not isolate a specific Rangpora-Lal Chowk distance, but both endpoints are independently real and the corridor direction (north Srinagar to city centre) matches existing JKRTC trunk patterns (e.g. Soura-Lalchowk type routes).","Coordinates plausible: Rangpora's position north of Soura (lat 34.16) versus Lal Chowk (lat 34.07) gives a haversine of 10.07 km, consistent with a 9-11 km road estimate.","27-56","Cycle 111.7 min implies a ~52-56 min one-way trip for a roughly 10 km corridor; slow, but plausible if Rangpora is a more distant northern suburb subject to congestion approaching the city centre.","REVIEW","Could not find a direct, named source confirming Rangpora-Lal Chowk distance/service; haversine (10.07 km) is reasonably close to engine KM but the one-way time of ~55 min for ~10-14 km looks inflated versus comparable Srinagar corridors (e.g. Soura-Lalchowk runs faster). Flagging for time-plausibility, not corridor existence.","latlong.net,distancesfrom.com,onefivenine.com"
"SRSR02023314","Rangreth to District Court via Barzulla Jehangir Chowk","34.024711,74.790406","34.100536,74.797551","10.327","82.6","15","7","Urban","0.144","8-9","20-25 min","Confirmed real corridor: a Srinagar bus Route 8 explicitly runs Rangreth to Rambagh via Rawalpora, Sanat Nagar, Baghat Barzulla and Rambagh, matching this route's listed via-points (Barzulla, Jehangir Chowk) almost exactly; District Court Srinagar sits near the Jehangir Chowk/Batamaloo civil-lines area.","Coordinates consistent with Rangreth (south Srinagar, near the bypass) and the Jehangir Chowk-area District Court; haversine 8.46 km matches an 8-9 km road estimate well, including the named via-points.","15-29","Cycle 82.6 min implies a ~38-41 min one-way trip via three named via-points (Barzulla, Jehangir Chowk), consistent with a multi-stop urban corridor with documented existing bus service.","PASS","Strong real-world match: a near-identical existing JKRTC route (Rangreth-Rambagh via Rawalpora/Barzulla) corroborates this corridor; engine KM and time are within reasonable bounds for a via-point urban route.","mapsofindia.com,bankbazaar.com,kashmirlife.net"
"SRSR02023720","Safakadal to Jehangir Chowk","34.09322,74.791695","34.071881,74.804719","3.149","25.2","20","3","Urban","0.02","2-3","8-10 min","Safakadal (old-city locality/bridge on the Jhelum) and Jehangir Chowk (major interchange) are both real, close-together Srinagar points; the old-city-to-Jehangir Chowk corridor is a well-trodden segment of multiple JKRTC routes (Route 5, Route 9).","Coordinates consistent with known positions; haversine 2.66 km matches the expected 2-3 km road distance for this short old-city hop.","5-57","Cycle 25.2 min implies a ~12-13 min one-way trip for a 2-3 km old-city hop; plausible given narrow old-city streets and the Jhelum-adjacent congestion.","PASS","Short, well-established old-city corridor; coordinates and distance are consistent, and the modelled time is reasonable for old-city congestion.","onefivenine.com,mapcarta.com,kashmirlife.net"
"SRSR02023736","Safakadal to SMHS","34.09322,74.791695","34.086425,74.798484","6.257","50.1","35","3","Urban","0.034","1-1.6","6-10 min","Confirmed: independent web sources state Safakadal is approximately 0.8-1.6 km from SMHS Hospital (Shri Maharaja Hari Singh Hospital, Karan Nagar); this is a short, very well-known old-city-to-hospital corridor used by many local routes.","Haversine 0.98 km closely matches the independently reported 0.8-1.6 km figure; coordinates are accurate.","291-526","Cycle 50.1 min implies a ~23-25 min one-way trip for what real sources show is roughly a 1-1.6 km, under-10-min hop; the engine has drastically overstated both the distance and the time for this very short corridor.","FAIL","Engine models 6.26 km / ~23-25 min one-way for a corridor independently confirmed at 0.8-1.6 km / under 10 min — a 4-6x distance overstatement; the engine likely mis-snapped one endpoint onto a long detour or a wrong road segment for this very short hop.","onefivenine.com,jkb.bank.in,justdial.com"
