Route_Code,Route_Name,Eng_O,Eng_D,Eng_KM,Eng_Cycle_Min,Eng_Headway,Eng_Fleet,Eng_Type,Eng_Load,Real_RoadKM,Real_OneWay_Time,Real_Service,Coord_Check,KM_Delta_Pct,Time_Check,Verdict,Finding,Sources
"SRSR01020913","Soura to Dalgate","34.137704,74.802102","34.081628,74.826887","11.745","94.0","20","6","Urban","0.072","7","15-20 min","Local minibuses and JKSRTC city buses ply Soura-Habba Kadal-Dalgate corridor; plausible urban route","Both endpoints real and correctly placed; straight-line 6.64 km vs road 7 km is consistent","68","One-way modelled ~47 min vs real ~15-20 min is high but explainable by Jhelum-bank congestion, Habba Kadal narrow lanes and multiple stops","REVIEW","Real road distance (~7 km via distancesfrom.com) is well below the modelled 11.745 km, a 68% overstatement; likely the engine routed via a longer corridor than the direct Soura-Dalgate Bridge road. Headway 20 min and fleet 6 are still plausible for an urban link given the high cycle time used.","distancesfrom.com, Wikipedia Soura"
"SRGB01010903","Soura to Ganderbal","34.137704,74.802102","34.192755,74.769753","9.86","78.9","35","4","Urban","0.64","10-15","18-22 min","Private minibuses and shared taxis run Srinagar-Ganderbal via Soura/Shalteng on NH1; JKSRTC also services this corridor","Both endpoints real; Soura is correctly placed on the north Srinagar edge; Ganderbal town centre coordinate plausible, straight-line 6.81 km consistent with a 10-15 km road distance allowing for the Sindh river crossing route","Approx -15 to +1 (using midpoint 12.5 km: -21%; using low end 10 km: -1%)","One-way modelled ~39 min vs real ~18-22 min is roughly double, but acceptable for a semi-rural NH1 corridor with traffic and the route is correctly classified Urban given it touches Srinagar city limits","REVIEW","Real driving distance for Soura/Srinagar to Ganderbal is commonly cited as 10-15 km depending on source and exact start point; modelled 9.86 km falls at the low end of that range, so it is plausible but on the short side. Treat as REVIEW for verification of the exact alignment used, not a hard error.","distancebetween2.com, onefivenine.com, ganderbal.nic.in"
"SRSR01010904","Soura to Hazratbal","34.137704,74.802102","34.127549,74.835646","8.337","66.7","35","3","Urban","0.293","6","10-12 min","Local minibuses connect Soura and Hazratbal along the Dal Lake northern shore road; well-established short urban hop","Both endpoints real and correctly placed along Dal Lake's north shore; straight-line 3.29 km vs road distance about 6 km is a normal detour ratio for this lakeside alignment","39","One-way modelled ~33 min vs real ~10-12 min is markedly high for a 6 km lakeside hop","REVIEW","Real road distance per alldistancebetween.com is about 6 km (7 min driving) vs modelled 8.337 km, a 39% overstatement, and the one-way time of ~33 min is roughly 3x the real drive time even allowing for stops. The corridor and headway/fleet are sound; the KM and cycle-time figures look inflated.","alldistancebetween.com, onefivenine.com"
"SRSR01020922","Soura to LD","34.137704,74.802102","34.081954,74.805892","10.099","80.8","20","6","Urban","0.077","7-8","15-18 min","LD (Lal Ded) Hospital, Wazir Bagh is a major destination served by city buses and minibuses from north Srinagar including Soura","Both endpoints real; LD Hospital is correctly in the Wazir Bagh/Lal Chowk area, straight-line 6.21 km is consistent with a ~7-8 km road route via the city core","30","One-way modelled ~40 min vs real ~15-18 min is high but plausible given LD Hospital's location in dense downtown traffic near Lal Chowk","REVIEW","LD Hospital (Lal Ded) sits in Wazir Bagh near Lal Chowk; estimated real road distance from Soura is about 7-8 km versus the modelled 10.1 km (about 30% over), and modelled one-way time of ~40 min is roughly double a realistic drive even with downtown congestion factored in.","srinagar.nic.in, mappls.com, gmcs.ac.in"
"SRSR01020923","Soura to Lalchowk","34.137704,74.802102","34.071262,74.810527","9.494","76.0","20","5","Urban","0.037","9-11","18-22 min","Iconic Srinagar corridor; JKSRTC city buses, minibuses and shared autos all run Soura-Lal Chowk regularly; well documented route","Both endpoints real and correctly placed; straight-line 7.43 km vs the cited 9-11 km road distance (via Nowhatta route cited at 11 km) is consistent","Approx -5 to +6 (midpoint 10 km: -5%)","One-way modelled ~38 min vs real ~18-22 min is roughly double, attributable to dense Lal Chowk-area congestion and multiple stops, within plausible range for this well-known bottleneck corridor","PASS","Soura to Lal Chowk distance sources give 9-11 km depending on route taken (direct vs via Nowhatta); modelled 9.494 km sits squarely in this range. This is a well-documented, heavily-trafficked real corridor with established bus/minibus service; headway 20 min and fleet 5 are reasonable for a primary urban spine.","distancesfrom.com (Lal Chowk to Soura via Nowhatta), Wikipedia Soura"
"SRSR01020929","Soura to Parimpora","34.137704,74.802102","34.111187,74.747451","12.314","98.5","35","4","Urban","0.096","11-13","20-25 min","Parimpora is Srinagar's major fruit/vegetable mandi and bus-stand hub; minibuses and city buses connect it to Soura and other city localities","Both endpoints real and correctly placed; Parimpora is on the city's northwest bypass junction, straight-line 5.83 km vs an estimated 11-13 km road distance reflects the indirect alignment around the city rather than a direct line","Approx 0 to +12 (midpoint 12 km: +3%)","One-way modelled ~49 min vs real ~20-25 min is high; plausible only if route includes congestion through Shalteng/Parimpora bypass junction area which is a known bottleneck","REVIEW","Could not find a direct published distance for Soura-Parimpora; based on known Srinagar geography and the Parimpora bypass junction location the road distance is estimated at 11-13 km, close to modelled 12.314 km, but the one-way time of ~49 min is roughly double a realistic estimate even allowing for the busy mandi-area traffic.","wikimapia.org Parimpora Bypass Junction, indiamapia.com Parimpora, onefivenine.com Soura"
"SRSR01020930","Soura to Qamarwari","34.137704,74.802102","34.094819,74.766082","9.3","74.4","35","4","Urban","0.166","9-10","18-20 min","Qamarwari is a populated Srinagar locality near Eidgah Road served by local minibuses connecting to Soura and the city core","Both endpoints real and correctly placed; straight-line 5.81 km vs estimated 9-10 km road distance is a normal urban detour ratio","Approx -2 to +9 (midpoint 9.5 km: -2%)","One-way modelled ~37 min vs real ~18-20 min is roughly double but plausible for a cross-city link through congested intermediate areas","PASS","No single published Soura-Qamarwari figure was found, but Qamarwari is documented about 5 km from Lal Chowk and Soura about 9 km from Lal Chowk on the opposite side, putting a real road distance in the 9-10 km band consistent with the modelled 9.3 km. Corridor, headway and fleet are all plausible for this urban locality link.","onefivenine.com Qamarwari, hectindia.com Qamarwari, Wikipedia Soura"
"SRSR01020936","Soura to SMHS","34.137704,74.802102","34.086425,74.798484","11.97","95.8","20","6","Urban","0.059","8-9","16-20 min","SMHS Hospital (Karan Nagar) is a major government hospital destination; multiple city bus and minibus routes connect it to north Srinagar localities including Soura","Both endpoints real; SMHS Hospital correctly located in Karan Nagar near Gole Market, straight-line 5.71 km vs an estimated 8-9 km road route via the city centre is plausible","37","One-way modelled ~48 min vs real ~16-20 min is high relative to the real drive time even with downtown congestion","REVIEW","SMHS Hospital is well documented in Karan Nagar; no single published Soura-SMHS distance was found but based on comparable city-core trips (Soura to Lal Chowk ~9-11 km) an SMHS distance of 8-9 km is a reasonable estimate, making the modelled 11.97 km about 37% over. Headway 20 min and fleet 6 are appropriate for a hospital-destination urban route.","srinagar.nic.in SMHS Hospital, mappls.com SMHS, gmcs.ac.in SMHS"
"SRSR02013901","Srinagar to Buchpora","34.07457,74.820502","34.150702,74.803112","9.37","75.0","20","5","Urban","0.06","9-12","18-22 min","Buchpora is a populated north Srinagar locality near Soura/Hazratbal; minibuses run regularly between central Srinagar and Buchpora","Both endpoints real and correctly placed; Buchpora is documented about 12 km from Lal Chowk, straight-line 8.62 km is consistent with a 9-12 km road distance from a central Srinagar point","Approx -11 to +4 (midpoint 10.5 km: -11%)","One-way modelled ~37 min vs real ~18-22 min is roughly double but plausible given multiple stops through dense northern Srinagar localities","PASS","Buchpora is documented as about 12 km from Lal Chowk; using a central Srinagar origin near Lal Chowk, modelled 9.37 km is within a reasonable range of the cited figures. Corridor, headway 20 min and fleet 5 are plausible for this urban link.","Wikipedia Buchpora, onefivenine.com Buchpora, distancesfrom.com"
"SRBG02023903","Srinagar to Budgam","34.07457,74.820502","34.006185,74.641626","23.639","189.1","35","7","Urban","0.054","9-14","13-20 min","Budgam town is well connected to Srinagar by NH444 with frequent shared taxis, minibuses and JKSRTC buses; a well-established short-haul corridor","Endpoint coordinate (34.006185,74.641626) is significantly west of Budgam's town centre (commonly around 34.0179,74.7139); this appears to place the destination several km past the actual town, inflating the route","Approx +69 to +163 (using commonly cited 9-14 km town-centre distance vs modelled 23.639 km)","One-way modelled ~95 min vs real ~13-20 min is grossly excessive for this short, well-paved NH444 corridor","FAIL","Multiple independent sources (yatra.com, mapsofindia.com, clearcarrental.com) consistently cite Srinagar-Budgam as 9-14 km via NH444 (about 13-20 min drive), but the modelled route is 23.639 km with a 189-min round trip cycle (about 95 min one-way) — roughly double the real distance and far beyond plausible drive time; the destination coordinate appears to be misplaced west of the actual Budgam town centre, likely near a different village.","yatra.com Budgam-Srinagar distance, mapsofindia.com, clearcarrental.com, Wikipedia Budgam district"
"SRSR02023910A","Srinagar to By Pass","34.07457,74.820502","34.082926,74.796819","3.279","26.2","20","3","Urban","0.006","3-4","8-10 min","Refers to a short segment of the Srinagar bypass (Athwajan-Parimpora corridor, 17.8 km total); local minibuses serve segments of this arterial road","Both endpoints real; the destination sits near the bypass road's path through the city, straight-line 2.37 km vs an estimated 3-4 km short road segment is consistent","Approx -18 to +9 (midpoint 3.5 km: -6%)","One-way modelled ~13 min vs real ~8-10 min is somewhat high but plausible for an arterial road with junctions","PASS","The Srinagar bypass (Athwajan to Parimpora) is a documented 17.8 km arterial road; this route represents a short ~3-4 km segment of it near the city centre, consistent with the modelled 3.279 km. Low fleet (3) and modest headway (20 min) are appropriate for this short low-load segment (load 0.006).","wikimapia.org Parimpora Bypass Junction, scribd.com NH bypass plan, devdiscourse.com Srinagar flyover"
