S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12386.0,SRINAGAR RTO,JK01AB6451,01-Apr-16,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,07-May-90,07-May-17,06-May-18,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Dalgate,Ordinary Service,2016-2017,1990-1991,DIESEL,,
12387.0,SRINAGAR RTO,JK01AB6453,01-Apr-16,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,31-Mar-91,31-Mar-19,30-Mar-20,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Hazratbal,Buchpora,Ordinary Service,2016-2017,1990-1991,DIESEL,,
12388.0,SRINAGAR RTO,JK01AB8023,03-May-16,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,21-Aug-98,29-May-23,28-May-28,,,TRC,HAZRATBAL,"KHAYAM,KHANYAR,RAINAWARI,SAIDA KADAL,DALGATE",Ordinary Service,2016-2017,1998-1999,DIESEL,,
12394.0,SRINAGAR RTO,JK01AD2446,14-Feb-17,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,27-Feb-17,27-Feb-20,26-Feb-21,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Dalgate,Ordinary Service,2016-2017,2016-2017,DIESEL,,
12398.0,SRINAGAR RTO,JK01AD8717,18-May-17,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,22-Sep-07,22-Sep-23,21-Sep-28,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Railway Station,Dalgate,,2017-2018,2007-2008,DIESEL,,
12400.0,SRINAGAR RTO,JK01AE1787,21-Jun-17,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,12-Apr-97,12-Apr-24,11-Apr-29,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Lalchowk,,2017-2018,1997-1998,DIESEL,,
12401.0,SRINAGAR RTO,JK01AH8787,22-Aug-17,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-Sep-25,09-Sep-25,08-Sep-30,EASTERN AREA OF SGR ROTATION BASIS,,Malbagh,LD,Illahibagh,Ordinary Service,2017-2018,2025-2026,DIESEL,,
12405.0,SRINAGAR RTO,JK01AM1717,15-Jun-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Batamallo,,2024-2025,2024-2025,DIESEL,,
12408.0,SRINAGAR RTO,JK01AR1515,06-Jul-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Bemina,,2024-2025,2024-2025,DIESEL,,
12411.0,SRINAGAR RTO,JK01AV0415,30-Oct-23,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,31-Jul-24,31-Jul-24,30-Jul-29,WESTERN AREA OF SRINAGAR CITY,,Soura,Parimpora,Sakidafar,,2023-2024,2024-2025,DIESEL,,
12412.0,SRINAGAR RTO,JK01AV0605,01-Nov-23,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,25-Jan-24,25-Jan-24,24-Jan-29,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Hazratbal,Buchpora,,2023-2024,2023-2024,DIESEL,,
12413.0,SRINAGAR RTO,JK01AV4095,22-Nov-23,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Jun-24,20-Jun-24,19-Jun-29,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Nowhata,,2023-2024,2024-2025,DIESEL,,
12427.0,SRINAGAR RTO,JK01AW1818,19-Apr-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Bemina,,2024-2025,2024-2025,DIESEL,,
12428.0,SRINAGAR RTO,JK01AW1919,23-Apr-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Bemina,,2024-2025,2024-2025,DIESEL,,
12432.0,SRINAGAR RTO,JK01AW5015,27-May-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-Oct-24,10-Oct-24,09-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,Budgam,Khumani Chowk,,2024-2025,2024-2025,DIESEL,,
