S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12438.0,SRINAGAR RTO,JK01AW9836,04-Jul-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Sora,Parimpora,Qamarwari,,2024-2025,2024-2025,DIESEL,,
12441.0,SRINAGAR RTO,JK01AX5915,13-Sep-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Nov-24,20-Nov-24,19-Nov-29,EASTERN AREA OF SGR ROTATION BASIS,,Jehangir Chowk,HMT,Parimpora,,2024-2025,2024-2025,DIESEL,,
12455.0,SRINAGAR RTO,JK01BA4826,25-Feb-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,05-Nov-25,05-Nov-25,04-Nov-30,WITHIN SRINAGAR CITY,,Parimpora,Pantha chowk,Dalgate,,2024-2025,2025-2026,DIESEL,,
12456.0,SRINAGAR RTO,JK01BA5230,03-Mar-25,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,25-Oct-25,25-Oct-25,24-Oct-30,WESTERN AREA OF SRINAGAR CITY,,Soura,LD,Buchpora,Ordinary Service,2024-2025,2025-2026,DIESEL,,
12457.0,SRINAGAR RTO,JK01BA5664,08-Mar-25,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,11-Nov-25,11-Nov-25,10-Nov-30,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Chadora,Jehangir Chowk,Ordinary Service,2024-2025,2025-2026,DIESEL,,
12458.0,SRINAGAR RTO,JK01BA5764,11-Mar-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,16-Sep-25,16-Sep-25,15-Sep-30,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Dalgate,Ordinary Service,2024-2025,2025-2026,DIESEL,,
12459.0,SRINAGAR RTO,JK01BA5819,12-Mar-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,13-Nov-25,13-Nov-25,12-Nov-30,WITHIN SRINAGAR CITY,,Soura,Railway Station,Sonawar,,2024-2025,2025-2026,DIESEL,,
12460.0,SRINAGAR RTO,JK01BA6663,13-Jan-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,25-Oct-25,25-Oct-25,24-Oct-30,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Hazratbal,Buchpora,,2024-2025,2025-2026,DIESEL,,
12461.0,SRINAGAR RTO,JK01BA8717,03-Feb-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,26-Sep-25,26-Sep-25,25-Sep-30,EASTERN AREA OF SGR ROTATION BASIS,,Sora,LD,Dalgate,Ordinary Service,2024-2025,2025-2026,DIESEL,,
12462.0,SRINAGAR RTO,JK01BA9093,17-Feb-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,16-Sep-25,16-Sep-25,15-Sep-30,EASTERN AREA OF SGR ROTATION BASIS,,Baghat Shora,Lalchowk,Nowhata,,2024-2025,2025-2026,DIESEL,,
12464.0,SRINAGAR RTO,JK01BA9644,22-Apr-25,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-Nov-25,10-Nov-25,09-Nov-30,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Bemina,Ordinary Service,2025-2026,2025-2026,DIESEL,,
12648.0,SRINAGAR RTO,JK01E7523,21-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,16-May-85,16-May-21,15-May-26,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,90feet,Ordinary Service,2001-2002,1985-1986,DIESEL,,
